,Origin,Dest,Distance,DayOfWeek,DayofMonth,Month,Season,CRSDepTime,CRSDepTimeMins_after_0000,CRSDepTimeFrame,CRSElapsedTime,CRSArrTime,UniqueCarrier,origin_runways,destination_runways,total_runways,USair_congestion,total_flights_origin,total_flights_destination,DepDelay,ArrDelay,ArrDelayClass,Date,CRSDepHour,CRSArrHour
3165,OAK,JFK,2576.0,7,17,12,Winter,2023-07-17 07:35:00,455,Morning,320.0,1555,B6,4,4,8,13,1,2,-5.0,-29.0,On-time,2006-12-17,7,15
3166,PBI,ORD,1144.0,7,21,5,Spring,2023-07-17 09:00:00,540,Morning,178.0,1058,UA,3,11,14,16,2,1,-1.0,15.0,Slightly delayed,2006-05-21,9,10
3167,LAS,CVG,1678.0,2,6,6,Summer,2023-07-17 23:59:00,1439,Evening,222.0,0641,DL,4,4,8,18,1,2,-5.0,-7.0,On-time,2006-06-06,23,6
3168,SNA,ATL,1919.0,3,12,4,Spring,2023-07-17 13:46:00,826,Afternoon,246.0,2052,DL,2,5,7,15,1,2,-3.0,-7.0,On-time,2006-04-12,13,20
3169,DEN,LNK,423.0,6,17,6,Summer,2023-07-17 13:27:00,807,Afternoon,75.0,1542,OO,6,3,9,11,1,1,8.0,16.0,Moderately delayed,2006-06-17,13,15
3170,MDW,MSP,349.0,4,20,4,Spring,2023-07-17 09:12:00,552,Morning,90.0,1042,NW,5,4,9,14,1,2,-5.0,-1.0,On-time,2006-04-20,9,10
3171,ATL,CLT,227.0,2,14,2,Winter,2023-07-17 15:02:00,902,Afternoon,66.0,1608,DL,5,4,9,16,1,2,-3.0,-5.0,On-time,2006-02-14,15,16
3172,BHM,IAH,562.0,2,26,12,Winter,2023-07-17 10:21:00,621,Morning,121.0,1222,XE,2,5,7,16,1,2,4.0,-13.0,On-time,2006-12-26,10,12
3173,LAX,JFK,2475.0,5,20,10,Autumn,2023-07-17 22:10:00,1330,Evening,314.0,0624,UA,4,4,8,11,1,1,-5.0,-19.0,On-time,2006-10-20,22,6
3174,BOI,SLC,291.0,2,26,9,Autumn,2023-07-17 10:15:00,615,Morning,60.0,1115,WN,3,4,7,13,2,1,-3.0,-9.0,On-time,2006-09-26,10,11
3175,DTW,DEN,1123.0,4,9,11,Autumn,2023-07-17 06:30:00,390,Morning,195.0,0745,F9,6,6,12,16,2,2,-1.0,9.0,Slightly delayed,2006-11-09,6,7
3176,DCA,MIA,920.0,6,1,4,Spring,2023-07-17 10:00:00,600,Morning,157.0,1237,AA,3,4,7,14,2,1,6.0,-8.0,On-time,2006-04-01,10,12
3177,DAL,ABQ,580.0,6,20,5,Spring,2023-07-17 11:05:00,665,Morning,105.0,1150,WN,3,4,7,12,1,2,0.0,-10.0,On-time,2006-05-20,11,11
3178,MDW,SEA,1733.0,3,1,11,Autumn,2023-07-17 19:45:00,1185,Evening,265.0,2210,WN,5,4,9,11,2,1,2.0,-4.0,On-time,2006-11-01,19,22
3179,LAS,ATL,1747.0,6,16,9,Autumn,2023-07-17 09:40:00,580,Morning,231.0,1631,FL,4,5,9,11,3,1,-1.0,-18.0,On-time,2006-09-16,9,16
3180,LAS,TUS,365.0,4,9,3,Spring,2023-07-17 12:25:00,745,Afternoon,80.0,1445,WN,4,3,7,18,1,2,-3.0,-11.0,On-time,2006-03-09,12,14
3181,ATL,MEM,332.0,5,13,1,Winter,2023-07-17 07:45:00,465,Morning,80.0,0805,DL,5,4,9,7,3,1,-1.0,-1.0,On-time,2006-01-13,7,8
3182,DTW,JAX,814.0,7,3,9,Autumn,2023-07-17 19:21:00,1161,Evening,132.0,2133,NW,6,2,8,12,1,1,-5.0,12.0,Slightly delayed,2006-09-03,19,21
3183,BOI,MSP,1142.0,3,30,8,Summer,2023-07-17 14:00:00,840,Afternoon,166.0,1746,NW,3,4,7,13,1,1,-5.0,-9.0,On-time,2006-08-30,14,17
3184,ORD,LAS,1515.0,1,25,9,Autumn,2023-07-17 09:26:00,566,Morning,236.0,1122,UA,11,4,15,17,3,1,4.0,-1.0,On-time,2006-09-25,9,11
3185,STL,MDW,251.0,1,6,3,Spring,2023-07-17 06:35:00,395,Morning,60.0,0735,WN,4,5,9,17,1,1,5.0,5.0,Slightly delayed,2006-03-06,6,7
3186,PHL,ALB,212.0,1,16,1,Winter,2023-07-17 19:55:00,1195,Evening,66.0,2101,US,4,2,6,12,1,1,-5.0,-19.0,On-time,2006-01-16,19,21
3187,PVD,CLE,540.0,7,18,6,Summer,2023-07-17 09:48:00,588,Morning,112.0,1140,XE,2,4,6,10,1,1,-3.0,-8.0,On-time,2006-06-18,9,11
3188,MDW,JAN,666.0,5,13,10,Autumn,2023-07-17 10:00:00,600,Morning,120.0,1200,WN,5,2,7,15,1,1,1.0,-12.0,On-time,2006-10-13,10,12
3189,PDX,DFW,1616.0,4,20,7,Summer,2023-07-17 06:03:00,363,Morning,221.0,1144,AA,3,7,10,13,2,1,-2.0,-1.0,On-time,2006-07-20,6,11
3190,ATL,SAT,874.0,7,25,6,Summer,2023-07-17 13:00:00,780,Afternoon,141.0,1421,DL,5,3,8,14,2,1,4.0,55.0,Moderately delayed,2006-06-25,13,14
3191,PVD,ORD,849.0,4,15,6,Summer,2023-07-17 17:27:00,1047,Afternoon,153.0,1900,MQ,2,11,13,19,1,2,1.0,-16.0,On-time,2006-06-15,17,19
3192,IAH,DFW,224.0,5,18,8,Summer,2023-07-17 07:45:00,465,Morning,80.0,0905,CO,5,7,12,10,1,1,0.0,-14.0,On-time,2006-08-18,7,9
3193,TPA,CLE,927.0,7,29,10,Autumn,2023-07-17 14:34:00,874,Afternoon,151.0,1705,CO,3,4,7,20,1,1,-2.0,-10.0,On-time,2006-10-29,14,17
3194,DEN,LAX,862.0,3,11,10,Autumn,2023-07-17 11:30:00,690,Morning,143.0,1253,UA,6,4,10,10,1,2,-3.0,-8.0,On-time,2006-10-11,11,12
3195,ONT,LAS,197.0,6,24,6,Summer,2023-07-17 15:30:00,930,Afternoon,55.0,1625,WN,2,4,6,16,1,2,20.0,24.0,Moderately delayed,2006-06-24,15,16
3196,ATL,MSY,425.0,5,15,9,Autumn,2023-07-17 08:15:00,495,Morning,91.0,0846,FL,5,3,8,14,3,1,0.0,7.0,Slightly delayed,2006-09-15,8,8
3197,BWI,MCI,967.0,5,19,5,Spring,2023-07-17 19:20:00,1160,Evening,165.0,2105,WN,4,3,7,13,2,1,25.0,10.0,Slightly delayed,2006-05-19,19,21
3198,MSP,LAS,1300.0,4,26,10,Autumn,2023-07-17 21:26:00,1286,Evening,220.0,2306,US,4,4,8,18,1,2,172.0,133.0,Excessively delayed,2006-10-26,21,23
3199,SJC,PDX,569.0,7,12,11,Autumn,2023-07-17 15:30:00,930,Afternoon,103.0,1713,AS,3,3,6,11,1,1,41.0,43.0,Moderately delayed,2006-11-12,15,17
